name,value,colour
R2-D2,31,#bde0f6
ANAKIN,54,#ce3b59
OBI-WAN,60,#48D1CC
ODD BALL,5,#808080
GENERAL GRIEVOUS,13,#808080
EMPEROR,25,#191970
COUNT DOOKU,3,#808080
BAIL ORGANA,21,#808080
C-3PO,16,#FFD700
PADME,24,#DDA0DD
YODA,24,#9ACD32
FANG ZAR,4,#808080
MON MOTHMA,4,#808080
GIDDEAN DANU,3,#808080
MACE WINDU,8,#808080
CAPTAIN TYPHO,4,#808080
CLONE COMMANDER GREE,5,#808080
CLONE COMMANDER CODY,5,#808080
JAR JAR,3,#9a9a00
TION MEDON,4,#808080
NUTE GUNRAY,6,#808080
PLO KOON,3,#808080
CAPTAIN ANTILLES,4,#808080
DARTH VADER,5,#000000
QUI-GON,3,#4f4fb1
