source,target,value
C-3PO,R2-D2,38
DARTH VADER,EMPEROR,3
C-3PO,YOUNG GIRL,1
R2-D2,YOUNG GIRL,1
DARTH VADER,YOUNG GIRL,1
DARTH VADER,LEIA,8
LEIA,YOUNG GIRL,2
BIGGS,LUKE,19
CAMIE,LUKE,2
BIGGS,CAMIE,2
DARTH VADER,SNAP,1
LEIA,SNAP,2
LUKE,OWEN,9
BIGGS,OWEN,2
BERU,C-3PO,2
C-3PO,LUKE,33
C-3PO,OWEN,4
BERU,R2-D2,2
LUKE,R2-D2,28
OWEN,R2-D2,2
BERU,LUKE,5
BERU,OWEN,4
C-3PO,OBI-WAN,16
OBI-WAN,R2-D2,13
BERU,OBI-WAN,2
LUKE,OBI-WAN,36
LEIA,OBI-WAN,8
BIGGS,OBI-WAN,3
CAPTAIN ANTILLES,OBI-WAN,1
OBI-WAN,SNAP,1
C-3PO,LEIA,17
BIGGS,C-3PO,5
C-3PO,CAPTAIN ANTILLES,1
C-3PO,SNAP,1
LEIA,R2-D2,11
BIGGS,R2-D2,2
CAPTAIN ANTILLES,R2-D2,1
R2-D2,SNAP,1
BERU,LEIA,1
BERU,BIGGS,2
BERU,CAPTAIN ANTILLES,1
BERU,SNAP,1
LEIA,LUKE,30
CAPTAIN ANTILLES,LUKE,1
LUKE,SNAP,1
BIGGS,LEIA,5
CAPTAIN ANTILLES,LEIA,1
BIGGS,CAPTAIN ANTILLES,1
BIGGS,SNAP,1
CAPTAIN ANTILLES,SNAP,1
OBI-WAN,OWEN,3
DARTH VADER,OBI-WAN,7
C-3PO,DARTH VADER,1
DARTH VADER,R2-D2,2
DARTH VADER,LUKE,11
DARTH VADER,TARKIN,10
DARTH VADER,MOTTI,2
EMPEROR,TARKIN,2
EMPEROR,MOTTI,2
MOTTI,TARKIN,2
CHEWBACCA,OBI-WAN,13
C-3PO,CHEWBACCA,10
CHEWBACCA,LUKE,28
HAN,OBI-WAN,13
CHEWBACCA,HAN,34
HAN,LUKE,39
HAN,JABBA,2
GREEDO,HAN,2
GREEDO,JABBA,2
LEIA,TARKIN,2
CHEWBACCA,JABBA,1
CHEWBACCA,GREEDO,1
C-3PO,HAN,11
HAN,R2-D2,11
EMPEROR,LEIA,1
LEIA,MOTTI,1
CHEWBACCA,R2-D2,7
CHEWBACCA,LEIA,19
HAN,LEIA,21
OBI-WAN,TARKIN,2
CHEWBACCA,YOUNG GIRL,1
LUKE,YOUNG GIRL,1
HAN,YOUNG GIRL,1
CHEWBACCA,DARTH VADER,2
DARTH VADER,HAN,2
R2-D2,WEDGE,1
GOLD LEADER,R2-D2,1
DODONNA,R2-D2,3
CHEWBACCA,WEDGE,1
CHEWBACCA,GOLD LEADER,1
CHEWBACCA,DODONNA,2
LUKE,WEDGE,10
GOLD LEADER,LUKE,1
DODONNA,LUKE,5
HAN,WEDGE,1
GOLD LEADER,HAN,1
DODONNA,HAN,3
LEIA,WEDGE,6
GOLD LEADER,LEIA,3
DODONNA,LEIA,7
GOLD LEADER,WEDGE,2
DODONNA,WEDGE,5
DODONNA,GOLD LEADER,2
OBI-WAN,RED LEADER,1
DODONNA,OBI-WAN,1
C-3PO,RED LEADER,4
C-3PO,DODONNA,5
R2-D2,RED LEADER,1
LUKE,RED LEADER,11
HAN,RED LEADER,1
BIGGS,HAN,1
LEIA,RED LEADER,7
BIGGS,RED LEADER,5
DODONNA,RED LEADER,5
BIGGS,DODONNA,5
RED LEADER,WEDGE,5
GOLD LEADER,RED LEADER,3
C-3PO,WEDGE,4
BIGGS,WEDGE,5
LUKE,RED TEN,2
LEIA,RED TEN,1
RED LEADER,RED TEN,1
C-3PO,GOLD LEADER,1
BIGGS,GOLD LEADER,1
GOLD FIVE,GOLD LEADER,2
C-3PO,GOLD FIVE,1
GOLD FIVE,LEIA,1
DARTH VADER,GOLD LEADER,1
GOLD FIVE,RED LEADER,2
GOLD FIVE,LUKE,1
DARTH VADER,RED TEN,3
DARTH VADER,RED LEADER,2
DARTH VADER,WEDGE,1
BIGGS,DARTH VADER,1
