source,target,value
CHEWBACCA,R2-D2,8
C-3PO,R2-D2,14
LANDO,R2-D2,2
JABBA,R2-D2,2
LUKE,R2-D2,8
HAN,R2-D2,9
LEIA,R2-D2,12
MON MOTHMA,R2-D2,1
C-3PO,CHEWBACCA,13
CHEWBACCA,LANDO,6
CHEWBACCA,HAN,20
CHEWBACCA,LUKE,10
CHEWBACCA,LEIA,14
CHEWBACCA,MON MOTHMA,1
DARTH VADER,JERJERROD,1
BIB FORTUNA,C-3PO,2
C-3PO,JABBA,3
C-3PO,LUKE,10
JABBA,LUKE,2
BOUSHH,JABBA,1
BOUSHH,C-3PO,2
BOUSHH,HAN,1
BOUSHH,LEIA,1
HAN,LEIA,18
C-3PO,HAN,18
C-3PO,LEIA,15
BIB FORTUNA,LUKE,1
BIB FORTUNA,JABBA,1
HAN,LUKE,13
LEIA,LUKE,8
LANDO,LUKE,4
HAN,LANDO,5
LANDO,LEIA,2
DARTH VADER,EMPEROR,5
LUKE,YODA,1
LUKE,OBI-WAN,1
HAN,MON MOTHMA,1
ADMIRAL ACKBAR,HAN,1
LANDO,MON MOTHMA,1
ADMIRAL ACKBAR,LANDO,5
C-3PO,LANDO,1
ADMIRAL ACKBAR,MON MOTHMA,1
C-3PO,MON MOTHMA,1
LEIA,MON MOTHMA,1
LUKE,MON MOTHMA,1
ADMIRAL ACKBAR,C-3PO,1
ADMIRAL ACKBAR,LEIA,1
ADMIRAL ACKBAR,LUKE,1
DARTH VADER,PIETT,1
DARTH VADER,LUKE,5
EMPEROR,LUKE,3
LANDO,WEDGE,6
ADMIRAL ACKBAR,WEDGE,1
ANAKIN,DARTH VADER,1
ANAKIN,LUKE,1
