name,value,colour
LUKE,17,#3881e5
LEIA,18,#DCDCDC
BB-8,59,#eb5d00
POE,46,#a15bea
LOR SAN TEKKA,6,#808080
KYLO REN,32,#000000
CAPTAIN PHASMA,6,#808080
FINN,91,#07b19f
REY,103,#ffe0af
UNKAR PLUTT,9,#808080
GENERAL HUX,16,#808080
LIEUTENANT MITAKA,3,#808080
SNOKE,10,#191970
CHEWBACCA,56,#A0522D
HAN,60,#ff9400
BALA-TIK,4,#808080
MAZ,9,#808080
DARTH VADER,4,#000000
R2-D2,6,#bde0f6
SNAP,8,#808080
JESS,6,#808080
C-3PO,11,#FFD700
ADMIRAL ACKBAR,5,#808080
ADMIRAL STATURA,3,#808080
YOLO ZIFF,3,#808080
COLONEL DATOO,3,#808080
ELLO ASTY,4,#808080
NIV LEK,3,#808080
