name,value,colour
NUTE GUNRAY,29,#808080
QUI-GON,87,#4f4fb1
TC-14,5,#808080
PK-4,3,#808080
OBI-WAN,288,#48D1CC
YODA,69,#9ACD32
DOFINE,3,#808080
RUNE,20,#808080
TEY HOW,4,#808080
VALORUM,6,#808080
RABE,15,#808080
EMPEROR,116,#191970
CAPTAIN PANAKA,34,#808080
SIO BIBBLE,13,#808080
JAR JAR,72,#9a9a00
TARPALS,3,#808080
BOSS NASS,6,#808080
PADME,141,#DDA0DD
RIC OLIE,14,#808080
R2-D2,224,#bde0f6
ANAKIN,232,#ce3b59
WATTO,17,#808080
SEBULBA,11,#808080
JIRA,3,#808080
C-3PO,197,#FFD700
SHMI,19,#808080
DARTH MAUL,18,#808080
KITSTER,11,#808080
WALD,3,#808080
GREEDO,5,#808080
FODE/BEED,11,#808080
JABBA,30,#808080
MACE WINDU,27,#808080
KI-ADI-MUNDI,15,#808080
BAIL ORGANA,33,#808080
GENERAL CEEL,5,#808080
BRAVO TWO,5,#808080
BRAVO THREE,3,#808080
COUNT DOOKU,33,#808080
CAPTAIN TYPHO,12,#808080
SENATOR ASK AAK,3,#808080
ORN FREE TAA,4,#808080
RUWEE,4,#808080
JOBAL,3,#808080
SOLA,3,#808080
TAUN WE,10,#808080
LAMA SU,8,#808080
JANGO FETT,16,#808080
BOBA FETT,23,#808080
SNAP,14,#808080
BERU,13,#808080
OWEN,17,#808080
CLIEGG,5,#808080
POGGLE,5,#808080
SUN RIT,3,#808080
PLO KOON,7,#808080
GENERAL GRIEVOUS,35,#808080
RED LEADER,51,#808080
ODD BALL,4,#808080
MON MOTHMA,4,#808080
FANG ZAR,4,#808080
GIDDEAN DANU,3,#808080
CLONE COMMANDER GREE,4,#808080
CLONE COMMANDER CODY,4,#808080
TION MEDON,3,#808080
DARTH VADER,147,#000000
CHEWBACCA,197,#A0522D
CAPTAIN ANTILLES,4,#808080
LUKE,338,#3881e5
LEIA,182,#DCDCDC
TARKIN,17,#808080
YOUNG GIRL,4,#808080
BIGGS,34,#808080
CAMIE,3,#808080
MOTTI,3,#808080
HAN,231,#ff9400
WEDGE,43,#808080
GOLD LEADER,25,#808080
DODONNA,10,#808080
RED TEN,12,#808080
GOLD FIVE,12,#808080
RIEEKAN,8,#808080
DERLIN,3,#808080
ZEV,8,#808080
PIETT,13,#808080
OZZEL,3,#808080
DACK,5,#808080
JANSON,5,#808080
NEEDA,5,#808080
LANDO,69,#808080
JERJERROD,4,#808080
BIB FORTUNA,7,#808080
BOUSHH,3,#808080
ADMIRAL ACKBAR,15,#808080
BB-8,59,#eb5d00
POE,46,#a15bea
LOR SAN TEKKA,6,#808080
KYLO REN,32,#000000
CAPTAIN PHASMA,6,#808080
FINN,91,#07b19f
REY,103,#ffe0af
UNKAR PLUTT,9,#808080
GENERAL HUX,16,#808080
LIEUTENANT MITAKA,3,#808080
SNOKE,10,#191970
BALA-TIK,4,#808080
MAZ,9,#808080
JESS,6,#808080
ADMIRAL STATURA,3,#808080
YOLO ZIFF,3,#808080
COLONEL DATOO,3,#808080
ELLO ASTY,4,#808080
NIV LEK,3,#808080
